"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.360251873E1,6.491255318E1,2.553379555E1,1.898374390E1,1.480000019E0,1.808000031E2,3.790092468E0,2.500000000E0
4.460231722E1,6.491254033E1,2.553379188E1,1.847036583E1,1.460000038E0,1.795000000E2,3.790092468E0,2.500000000E0
4.560221712E1,6.491252639E1,2.553378704E1,1.800325158E1,1.519999981E0,1.798000031E2,3.790092468E0,2.500000000E0
4.660225451E1,6.491251274E1,2.553378246E1,1.809021470E1,1.470000029E0,1.798999939E2,3.790092468E0,2.500000000E0
4.760266884E1,6.491249885E1,2.553377995E1,1.789501175E1,1.500000000E0,1.806999969E2,3.790092468E0,2.500000000E0
4.860241321E1,6.491248406E1,2.553377636E1,1.734379007E1,1.519999981E0,1.820000000E2,3.790092468E0,2.500000000E0
4.960265482E1,6.491246935E1,2.553377509E1,1.696535864E1,1.490000010E0,1.821000061E2,3.790092468E0,2.500000000E0
5.060259316E1,6.491245473E1,2.553377447E1,1.648438812E1,1.509999990E0,1.801999969E2,3.790092468E0,2.500000000E0
5.160202988E1,6.491244036E1,2.553377420E1,1.595953350E1,1.470000029E0,1.796999969E2,3.790092468E0,2.500000000E0
5.260196508E1,6.491242690E1,2.553377143E1,1.591484369E1,1.450000048E0,1.810000000E2,3.790092468E0,2.500000000E0
5.360189847E1,6.491241478E1,2.553376677E1,1.514664468E1,1.429999948E0,1.823000031E2,3.790092468E0,2.500000000E0
5.460179894E1,6.491240135E1,2.553376421E1,1.471602957E1,1.450000048E0,1.806999969E2,3.790092468E0,2.500000000E0
5.560215925E1,6.491238843E1,2.553376559E1,1.469398366E1,1.429999948E0,1.803000031E2,3.790092468E0,2.500000000E0
5.660198404E1,6.491237576E1,2.553376740E1,1.438360784E1,1.470000029E0,1.808000031E2,3.790092468E0,2.500000000E0
5.760192149E1,6.491236330E1,2.553376961E1,1.427824925E1,1.460000038E0,1.833999939E2,3.790092468E0,2.500000000E0
5.860235237E1,6.491235092E1,2.553377113E1,1.445182150E1,1.399999976E0,1.858999939E2,3.790092468E0,2.500000000E0
5.960231368E1,6.491233908E1,2.553377264E1,1.485983029E1,1.429999948E0,1.856999969E2,3.790092468E0,2.500000000E0
6.060239211E1,6.491232676E1,2.553377443E1,1.481465255E1,1.429999948E0,1.858000031E2,3.790092468E0,2.500000000E0
6.160223472E1,6.491231475E1,2.553377514E1,1.495874529E1,1.440000057E0,1.846999969E2,3.790092468E0,2.500000000E0
