"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.116021932E2,6.491076336E1,2.553172760E1,1.002140306E1,1.480000019E0,3.185000000E2,3.790092468E0,2.500000000E0
2.126022119E2,6.491077227E1,2.553170459E1,9.890982768E0,1.389999986E0,3.196000061E2,3.790092468E0,2.500000000E0
2.136025312E2,6.491078061E1,2.553168121E1,9.942874015E0,1.389999986E0,3.177000122E2,3.790092468E0,2.500000000E0
2.146025801E2,6.491078980E1,2.553165428E1,9.752640135E0,1.480000019E0,3.163999939E2,3.790092468E0,2.500000000E0
2.156024425E2,6.491079846E1,2.553163098E1,9.810268970E0,1.490000010E0,3.167000122E2,3.790092468E0,2.500000000E0
2.166019773E2,6.491080730E1,2.553160937E1,9.929909430E0,1.419999957E0,3.187999878E2,3.790092468E0,2.500000000E0
2.176018638E2,6.491081671E1,2.553158289E1,9.765432520E0,1.409999967E0,3.162000122E2,3.790092468E0,2.500000000E0
2.186024076E2,6.491082591E1,2.553155876E1,1.008288865E1,1.460000038E0,3.162999878E2,3.790092468E0,2.500000000E0
2.196018879E2,6.491083479E1,2.553152928E1,1.003944442E1,1.460000038E0,3.132000122E2,3.790092468E0,2.500000000E0
2.206025317E2,6.491084444E1,2.553150412E1,1.013339038E1,1.470000029E0,3.177999878E2,3.790092468E0,2.500000000E0
2.216027557E2,6.491085397E1,2.553148157E1,1.014652528E1,1.500000000E0,3.190000000E2,3.790092468E0,2.500000000E0
2.226022601E2,6.491086373E1,2.553145813E1,9.949394414E0,1.480000019E0,3.123999939E2,3.790092468E0,2.500000000E0
2.236019768E2,6.491087393E1,2.553143206E1,1.038855587E1,1.559999943E0,3.161000061E2,3.790092468E0,2.500000000E0
2.246020541E2,6.491088319E1,2.553140277E1,1.046480191E1,1.509999990E0,3.096000061E2,3.790092468E0,2.500000000E0
2.256023326E2,6.491089458E1,2.553137731E1,1.052109084E1,1.549999952E0,3.205000000E2,3.790092468E0,2.500000000E0
2.266022686E2,6.491090589E1,2.553135355E1,1.061204740E1,1.539999962E0,3.197000122E2,3.790092468E0,2.500000000E0
2.276025021E2,6.491091538E1,2.553132525E1,1.061871342E1,1.529999971E0,3.107999878E2,3.790092468E0,2.500000000E0
2.286021411E2,6.491092533E1,2.553130096E1,1.059803550E1,1.490000010E0,3.206000061E2,3.790092468E0,2.500000000E0
2.296021030E2,6.491093514E1,2.553127698E1,1.076412498E1,1.509999990E0,3.170000000E2,3.790092468E0,2.500000000E0
2.306025802E2,6.491094373E1,2.553125209E1,1.044358017E1,1.470000029E0,3.135000000E2,3.790092468E0,2.500000000E0
2.316018003E2,6.491095341E1,2.553122703E1,1.062224293E1,1.529999971E0,3.168999939E2,3.790092468E0,2.500000000E0
2.326024366E2,6.491096204E1,2.553120285E1,1.106323369E1,1.440000057E0,3.153999939E2,3.790092468E0,2.500000000E0
2.336019737E2,6.491097234E1,2.553118299E1,1.090583666E1,1.429999948E0,3.205000000E2,3.790092468E0,2.500000000E0
2.346023642E2,6.491098064E1,2.553116139E1,1.057833306E1,1.419999957E0,3.183999939E2,3.790092468E0,2.500000000E0
2.356024117E2,6.491098968E1,2.553114230E1,1.067728239E1,1.450000048E0,3.197999878E2,3.790092468E0,2.500000000E0
2.366027192E2,6.491099853E1,2.553111980E1,1.067589028E1,1.460000038E0,3.162999878E2,3.790092468E0,2.500000000E0
2.376023775E2,6.491100760E1,2.553109658E1,1.045629780E1,1.429999948E0,3.170000000E2,3.790092468E0,2.500000000E0
2.386022670E2,6.491101790E1,2.553107644E1,1.061109563E1,1.500000000E0,3.205000000E2,3.790092468E0,2.500000000E0
2.396025880E2,6.491102594E1,2.553105671E1,1.032112812E1,1.399999976E0,3.142999878E2,3.790092468E0,2.500000000E0
2.406019501E2,6.491103495E1,2.553103529E1,1.011716031E1,1.440000057E0,3.150000000E2,3.790092468E0,2.500000000E0
2.416020976E2,6.491104380E1,2.553101249E1,1.000309735E1,1.460000038E0,3.157999878E2,3.790092468E0,2.500000000E0
2.426025153E2,6.491105246E1,2.553099146E1,1.021453442E1,1.429999948E0,3.140000000E2,3.790092468E0,2.500000000E0
2.436024865E2,6.491106152E1,2.553097002E1,1.015509790E1,1.500000000E0,3.162000122E2,3.790092468E0,2.500000000E0
2.446019354E2,6.491107043E1,2.553094864E1,1.027016075E1,1.480000019E0,3.111000061E2,3.790092468E0,2.500000000E0
2.456019654E2,6.491108016E1,2.553092761E1,1.038406464E1,1.480000019E0,3.198999939E2,3.790092468E0,2.500000000E0
2.466021809E2,6.491108943E1,2.553090394E1,1.041398413E1,1.470000029E0,3.116000061E2,3.790092468E0,2.500000000E0
2.476024237E2,6.491109891E1,2.553088366E1,1.035143504E1,1.409999967E0,3.176000061E2,3.790092468E0,2.500000000E0
2.486019588E2,6.491110875E1,2.553086259E1,1.037439665E1,1.460000038E0,3.198999939E2,3.790092468E0,2.500000000E0
2.496019692E2,6.491111779E1,2.553084087E1,9.956683789E0,1.399999976E0,3.133999939E2,3.790092468E0,2.500000000E0
2.506022031E2,6.491112612E1,2.553082219E1,1.001174812E1,1.450000048E0,3.137000122E2,3.790092468E0,2.500000000E0
2.516024194E2,6.491113488E1,2.553080756E1,9.803140351E0,1.440000057E0,3.157000122E2,3.790092468E0,2.500000000E0
2.526025760E2,6.491114458E1,2.553079109E1,9.521779832E0,1.409999967E0,3.201000061E2,3.790092468E0,2.500000000E0
2.536019528E2,6.491115370E1,2.553076965E1,9.683717883E0,1.409999967E0,3.155000000E2,3.790092468E0,2.500000000E0
2.546018887E2,6.491116196E1,2.553074785E1,1.006739591E1,1.460000038E0,3.081000061E2,3.790092468E0,2.500000000E0
2.556019848E2,6.491116938E1,2.553072982E1,9.934715161E0,1.419999957E0,3.131000061E2,3.790092468E0,2.500000000E0
2.566025327E2,6.491117822E1,2.553070859E1,9.814487393E0,1.419999957E0,3.140000000E2,3.790092468E0,2.500000000E0
2.576020860E2,6.491118758E1,2.553068516E1,9.557846872E0,1.450000048E0,3.166000061E2,3.790092468E0,2.500000000E0
2.586022365E2,6.491119714E1,2.553066274E1,9.600095542E0,1.440000057E0,3.153999939E2,3.790092468E0,2.500000000E0
2.596020215E2,6.491120612E1,2.553064289E1,9.746347181E0,1.460000038E0,3.176000061E2,3.790092468E0,2.500000000E0
2.606025520E2,6.491121515E1,2.553062416E1,9.551045959E0,1.379999995E0,3.212000122E2,3.790092468E0,2.500000000E0
2.616024559E2,6.491122407E1,2.553060276E1,9.917878837E0,1.419999957E0,3.195000000E2,3.790092468E0,2.500000000E0
2.626020436E2,6.491123354E1,2.553058334E1,1.042149170E1,1.450000048E0,3.188999939E2,3.790092468E0,2.500000000E0
2.636019857E2,6.491124232E1,2.553056254E1,1.049627114E1,1.450000048E0,3.181000061E2,3.790092468E0,2.500000000E0
2.646021699E2,6.491125123E1,2.553053914E1,1.034039924E1,1.399999976E0,3.163999939E2,3.790092468E0,2.500000000E0
2.656019775E2,6.491126219E1,2.553052038E1,1.042561739E1,1.490000010E0,3.192000122E2,3.790092468E0,2.500000000E0
2.666025569E2,6.491127258E1,2.553050045E1,1.052761986E1,1.419999957E0,3.158999939E2,3.790092468E0,2.500000000E0
2.676018224E2,6.491128121E1,2.553047726E1,1.074168175E1,1.379999995E0,3.097999878E2,3.790092468E0,2.500000000E0
2.686020523E2,6.491128703E1,2.553044870E1,1.062554166E1,1.389999986E0,2.967000122E2,3.790092468E0,2.500000000E0
2.696027337E2,6.491129146E1,2.553042115E1,1.130084301E1,1.440000057E0,2.867000122E2,3.790092468E0,2.500000000E0
2.706025832E2,6.491129501E1,2.553039192E1,1.103473754E1,1.389999986E0,2.853999939E2,3.790092468E0,2.500000000E0
2.716024003E2,6.491129897E1,2.553036236E1,1.096571503E1,1.350000024E0,2.877999878E2,3.790092468E0,2.500000000E0
2.726021248E2,6.491129999E1,2.553033373E1,1.084548115E1,1.379999995E0,2.770000000E2,3.790092468E0,2.500000000E0
2.736021789E2,6.491129896E1,2.553030318E1,1.090951080E1,1.419999957E0,2.652000122E2,3.790092468E0,2.500000000E0
2.746017866E2,6.491129592E1,2.553027536E1,1.104330135E1,1.379999995E0,2.546999969E2,3.790092468E0,2.500000000E0
2.756022808E2,6.491129065E1,2.553024898E1,1.132839575E1,1.429999948E0,2.431000061E2,3.790092468E0,2.500000000E0
2.766025848E2,6.491128496E1,2.553022726E1,1.135311307E1,1.389999986E0,2.381000061E2,3.790092468E0,2.500000000E0
2.776025985E2,6.491127913E1,2.553020774E1,1.094356479E1,1.360000014E0,2.376999969E2,3.790092468E0,2.500000000E0
2.786020989E2,6.491127233E1,2.553018888E1,1.096644958E1,1.389999986E0,2.330000000E2,3.790092468E0,2.500000000E0
2.796024271E2,6.491126550E1,2.553016656E1,1.103871232E1,1.429999948E0,2.328000031E2,3.790092468E0,2.500000000E0
2.806019676E2,6.491125896E1,2.553014668E1,1.086439292E1,1.389999986E0,2.295000000E2,3.790092468E0,2.500000000E0
2.816021600E2,6.491125089E1,2.553013305E1,1.082154087E1,1.389999986E0,2.141999969E2,3.790092468E0,2.500000000E0
2.826021227E2,6.491124257E1,2.553011712E1,1.073956540E1,1.440000057E0,2.193000031E2,3.790092468E0,2.500000000E0
2.836027641E2,6.491123327E1,2.553010175E1,1.049779889E1,1.419999957E0,2.186999969E2,3.790092468E0,2.500000000E0
2.846027528E2,6.491122469E1,2.553008489E1,1.064378964E1,1.440000057E0,2.191999969E2,3.790092468E0,2.500000000E0
2.856022690E2,6.491121634E1,2.553006694E1,1.051872363E1,1.379999995E0,2.266999969E2,3.790092468E0,2.500000000E0
2.866018484E2,6.491120709E1,2.553005391E1,1.030161502E1,1.419999957E0,2.125000000E2,3.790092468E0,2.500000000E0
2.876024083E2,6.491119865E1,2.553003654E1,9.667393568E0,1.409999967E0,2.226000061E2,3.790092468E0,2.500000000E0
2.886017446E2,6.491118972E1,2.553001760E1,9.651397004E0,1.409999967E0,2.191999969E2,3.790092468E0,2.500000000E0
2.896026498E2,6.491117996E1,2.553000172E1,9.027244899E0,1.399999976E0,2.186000061E2,3.790092468E0,2.500000000E0
2.906019874E2,6.491117116E1,2.552998461E1,9.164263309E0,1.399999976E0,2.188999939E2,3.790092468E0,2.500000000E0
2.916021592E2,6.491116261E1,2.552996727E1,8.839856206E0,1.360000014E0,2.231000061E2,3.790092468E0,2.500000000E0
2.926025846E2,6.491115364E1,2.552995119E1,8.315070100E0,1.309999943E0,2.201999969E2,3.790092468E0,2.500000000E0
2.936024274E2,6.491114238E1,2.552993824E1,7.945188612E0,1.340000033E0,2.116000061E2,3.790092468E0,2.500000000E0
2.946025896E2,6.491113268E1,2.552992174E1,8.175284706E0,1.340000033E0,2.178999939E2,3.790092468E0,2.500000000E0
2.956018977E2,6.491112336E1,2.552990305E1,8.362534812E0,1.429999948E0,2.258000031E2,3.790092468E0,2.500000000E0
2.966022672E2,6.491111193E1,2.552988824E1,8.738136853E0,1.330000043E0,2.236999969E2,3.790092468E0,2.500000000E0
2.976025659E2,6.491110149E1,2.552987187E1,8.808075991E0,1.250000000E0,2.221000061E2,3.790092468E0,2.500000000E0
2.986018207E2,6.491109171E1,2.552984971E1,8.926661658E0,1.389999986E0,2.248000031E2,3.790092468E0,2.500000000E0
2.996021332E2,6.491108259E1,2.552982754E1,8.896200086E0,1.370000005E0,2.226999969E2,3.790092468E0,2.500000000E0
3.006023355E2,6.491107330E1,2.552980614E1,8.914017047E0,1.360000014E0,2.208999939E2,3.790092468E0,2.500000000E0
3.016019434E2,6.491106441E1,2.552978396E1,8.941172879E0,1.330000043E0,2.235000000E2,3.790092468E0,2.500000000E0
3.026026926E2,6.491105529E1,2.552976267E1,8.823614003E0,1.340000033E0,2.206000061E2,3.790092468E0,2.500000000E0
3.036019565E2,6.491104657E1,2.552974329E1,8.755127470E0,1.330000043E0,2.231999969E2,3.790092468E0,2.500000000E0
3.046019783E2,6.491103776E1,2.552972196E1,8.593562541E0,1.340000033E0,2.226999969E2,3.790092468E0,2.500000000E0
3.056022176E2,6.491102941E1,2.552970028E1,8.839957078E0,1.350000024E0,2.273999939E2,3.790092468E0,2.500000000E0
3.066023716E2,6.491101875E1,2.552968246E1,8.745528561E0,1.350000024E0,2.163000031E2,3.790092468E0,2.500000000E0
3.076017765E2,6.491100924E1,2.552966451E1,8.743691464E0,1.360000014E0,2.178000031E2,3.790092468E0,2.500000000E0
3.086018004E2,6.491100076E1,2.552964475E1,8.852024060E0,1.299999952E0,2.258999939E2,3.790092468E0,2.500000000E0
3.096020139E2,6.491099120E1,2.552962611E1,9.021085461E0,1.299999952E0,2.243999939E2,3.790092468E0,2.500000000E0
3.106017729E2,6.491098174E1,2.552960675E1,9.473594332E0,1.340000033E0,2.248999939E2,3.790092468E0,2.500000000E0
3.116019877E2,6.491097356E1,2.552958711E1,9.568499454E0,1.240000010E0,2.275000000E2,3.790092468E0,2.500000000E0
3.126022795E2,6.491096363E1,2.552956949E1,9.350597463E0,1.289999962E0,2.218000031E2,3.790092468E0,2.500000000E0
3.136026066E2,6.491095234E1,2.552955395E1,9.390750530E0,1.330000043E0,2.133999939E2,3.790092468E0,2.500000000E0
3.146019921E2,6.491094175E1,2.552953794E1,9.379512718E0,1.299999952E0,2.168000031E2,3.790092468E0,2.500000000E0
3.156022440E2,6.491093232E1,2.552952208E1,9.192372638E0,1.330000043E0,2.173999939E2,3.790092468E0,2.500000000E0
3.166025707E2,6.491092235E1,2.552950645E1,9.416486904E0,1.370000005E0,2.153000031E2,3.790092468E0,2.500000000E0
3.176018352E2,6.491091260E1,2.552948907E1,9.317481529E0,1.360000014E0,2.183999939E2,3.790092468E0,2.500000000E0
3.186025796E2,6.491090311E1,2.552947024E1,9.129975642E0,1.409999967E0,2.198999939E2,3.790092468E0,2.500000000E0
3.196018550E2,6.491089407E1,2.552945066E1,8.782253004E0,1.370000005E0,2.220000000E2,3.790092468E0,2.500000000E0
3.206019889E2,6.491088508E1,2.552943337E1,8.701009551E0,1.440000057E0,2.178000031E2,3.790092468E0,2.500000000E0
3.216023930E2,6.491087550E1,2.552941623E1,8.676039940E0,1.440000057E0,2.178999939E2,3.790092468E0,2.500000000E0
3.226018531E2,6.491086672E1,2.552939785E1,8.284005835E0,1.389999986E0,2.218999939E2,3.790092468E0,2.500000000E0
3.236025645E2,6.491085784E1,2.552938038E1,8.429691222E0,1.409999967E0,2.195000000E2,3.790092468E0,2.500000000E0
3.246025457E2,6.491084842E1,2.552936497E1,8.366391415E0,1.399999976E0,2.158000031E2,3.790092468E0,2.500000000E0
3.256027216E2,6.491083896E1,2.552934844E1,8.298086861E0,1.379999995E0,2.211000061E2,3.790092468E0,2.500000000E0
3.266019280E2,6.491082995E1,2.552932876E1,8.240586435E0,1.409999967E0,2.253000031E2,3.790092468E0,2.500000000E0
3.276021291E2,6.491082094E1,2.552930832E1,8.426738471E0,1.399999976E0,2.226000061E2,3.790092468E0,2.500000000E0
3.286024237E2,6.491081169E1,2.552928917E1,8.442846139E0,1.409999967E0,2.205000000E2,3.790092468E0,2.500000000E0
3.296024165E2,6.491080258E1,2.552926994E1,8.375457856E0,1.409999967E0,2.208000031E2,3.790092468E0,2.500000000E0
3.306025769E2,6.491079349E1,2.552925128E1,8.455713546E0,1.419999957E0,2.196999969E2,3.790092468E0,2.500000000E0
3.316025514E2,6.491078305E1,2.552923356E1,8.701128971E0,1.509999990E0,2.156000061E2,3.790092468E0,2.500000000E0
3.326018120E2,6.491077380E1,2.552921570E1,8.616040151E0,1.440000057E0,2.203000031E2,3.790092468E0,2.500000000E0
3.336018341E2,6.491076411E1,2.552919647E1,8.802862756E0,1.440000057E0,2.233000031E2,3.790092468E0,2.500000000E0
3.346024039E2,6.491075369E1,2.552917888E1,8.667785016E0,1.440000057E0,2.198000031E2,3.790092468E0,2.500000000E0
3.356018525E2,6.491074277E1,2.552916561E1,8.734976651E0,1.429999948E0,2.101000061E2,3.790092468E0,2.500000000E0
3.366024205E2,6.491073185E1,2.552914877E1,8.533736222E0,1.440000057E0,2.161000061E2,3.790092468E0,2.500000000E0
3.376027882E2,6.491072377E1,2.552912812E1,8.542215814E0,1.379999995E0,2.276999969E2,3.790092468E0,2.500000000E0
3.386021273E2,6.491071592E1,2.552910636E1,8.432226554E0,1.419999957E0,2.256999969E2,3.790092468E0,2.500000000E0
3.396022493E2,6.491070696E1,2.552908601E1,8.359345420E0,1.419999957E0,2.233000031E2,3.790092468E0,2.500000000E0
3.406021010E2,6.491069733E1,2.552906587E1,8.308802500E0,1.460000038E0,2.223999939E2,3.790092468E0,2.500000000E0
3.416027104E2,6.491068910E1,2.552904354E1,8.196615710E0,1.399999976E0,2.291999969E2,3.790092468E0,2.500000000E0
3.426022149E2,6.491068077E1,2.552902004E1,8.166094048E0,1.450000048E0,2.281999969E2,3.790092468E0,2.500000000E0
3.436024123E2,6.491067170E1,2.552899759E1,7.945508060E0,1.419999957E0,2.246999969E2,3.790092468E0,2.500000000E0
3.446028273E2,6.491066070E1,2.552897970E1,8.058842916E0,1.470000029E0,2.223000031E2,3.790092468E0,2.500000000E0
3.456031152E2,6.491064976E1,2.552896242E1,8.170895994E0,1.480000019E0,2.191000061E2,3.790092468E0,2.500000000E0
3.466037215E2,6.491063863E1,2.552894474E1,8.318288315E0,1.470000029E0,2.188000031E2,3.790092468E0,2.500000000E0
3.476031470E2,6.491062811E1,2.552892471E1,8.465742600E0,1.419999957E0,2.225000000E2,3.790092468E0,2.500000000E0
3.486028741E2,6.491061727E1,2.552890291E1,8.451148523E0,1.460000038E0,2.233000031E2,3.790092468E0,2.500000000E0
3.496031766E2,6.491060678E1,2.552887981E1,8.541169230E0,1.519999981E0,2.251000061E2,3.790092468E0,2.500000000E0
3.506029458E2,6.491059663E1,2.552885686E1,8.585535932E0,1.480000019E0,2.238999939E2,3.790092468E0,2.500000000E0
3.516034129E2,6.491058511E1,2.552883675E1,8.648333542E0,1.460000038E0,2.241000061E2,3.790092468E0,2.500000000E0
3.526036842E2,6.491057343E1,2.552881579E1,8.725962677E0,1.500000000E0,2.240000000E2,3.790092468E0,2.500000000E0
3.536029968E2,6.491056204E1,2.552879392E1,8.899478453E0,1.490000010E0,2.243000031E2,3.790092468E0,2.500000000E0
3.546028258E2,6.491055143E1,2.552877233E1,8.722958289E0,1.500000000E0,2.236000061E2,3.790092468E0,2.500000000E0
3.556033347E2,6.491054053E1,2.552875461E1,8.981312744E0,1.450000048E0,2.246000061E2,3.790092468E0,2.500000000E0
3.566029409E2,6.491052995E1,2.552873521E1,9.046552521E0,1.480000019E0,2.240000000E2,3.790092468E0,2.500000000E0
3.576033812E2,6.491052026E1,2.552871716E1,9.157203072E0,1.409999967E0,2.203000031E2,3.790092468E0,2.500000000E0
3.586037384E2,6.491051156E1,2.552869431E1,9.422030089E0,1.470000029E0,2.223999939E2,3.790092468E0,2.500000000E0
3.596034471E2,6.491050224E1,2.552867316E1,9.312710760E0,1.480000019E0,2.176999969E2,3.790092468E0,2.500000000E0
3.606036830E2,6.491049182E1,2.552865192E1,9.363058393E0,1.529999971E0,2.165000000E2,3.790092468E0,2.500000000E0
3.616033311E2,6.491048292E1,2.552862889E1,9.200456054E0,1.409999967E0,2.226000061E2,3.790092468E0,2.500000000E0
3.626034615E2,6.491047535E1,2.552860715E1,8.972425061E0,1.409999967E0,2.251999969E2,3.790092468E0,2.500000000E0
3.636031138E2,6.491046739E1,2.552858646E1,9.013741687E0,1.409999967E0,2.246999969E2,3.790092468E0,2.500000000E0
3.646028073E2,6.491045888E1,2.552856399E1,9.396488744E0,1.460000038E0,2.243000031E2,3.790092468E0,2.500000000E0
3.656031257E2,6.491045050E1,2.552854270E1,8.992431540E0,1.450000048E0,2.250000000E2,3.790092468E0,2.500000000E0
3.666029060E2,6.491044164E1,2.552852331E1,8.889276916E0,1.409999967E0,2.231000061E2,3.790092468E0,2.500000000E0
3.676036403E2,6.491043202E1,2.552850300E1,9.010914211E0,1.429999948E0,2.215000000E2,3.790092468E0,2.500000000E0
3.686033094E2,6.491042271E1,2.552848172E1,8.815413272E0,1.440000057E0,2.213000031E2,3.790092468E0,2.500000000E0
3.696036738E2,6.491041429E1,2.552845860E1,8.771952017E0,1.460000038E0,2.263999939E2,3.790092468E0,2.500000000E0
3.706033255E2,6.491040505E1,2.552843767E1,8.966831949E0,1.450000048E0,2.216000061E2,3.790092468E0,2.500000000E0
3.716032531E2,6.491039586E1,2.552841728E1,8.949858815E0,1.419999957E0,2.228000031E2,3.790092468E0,2.500000000E0
3.726034920E2,6.491038640E1,2.552839673E1,8.967614460E0,1.440000057E0,2.233999939E2,3.790092468E0,2.500000000E0
3.736029114E2,6.491037657E1,2.552837601E1,8.607195961E0,1.419999957E0,2.223999939E2,3.790092468E0,2.500000000E0
3.746032440E2,6.491036672E1,2.552835562E1,8.329174852E0,1.440000057E0,2.213999939E2,3.790092468E0,2.500000000E0
3.756028111E2,6.491035776E1,2.552833548E1,8.342414296E0,1.409999967E0,2.221999969E2,3.790092468E0,2.500000000E0
3.766029921E2,6.491034928E1,2.552831396E1,8.376833598E0,1.440000057E0,2.235000000E2,3.790092468E0,2.500000000E0
3.776036749E2,6.491034081E1,2.552829198E1,8.385313040E0,1.440000057E0,2.240000000E2,3.790092468E0,2.500000000E0
3.786036584E2,6.491033246E1,2.552826963E1,8.095330736E0,1.450000048E0,2.228000031E2,3.790092468E0,2.500000000E0
3.796028063E2,6.491032311E1,2.552824771E1,8.089405056E0,1.470000029E0,2.211999969E2,3.790092468E0,2.500000000E0
3.806035652E2,6.491031332E1,2.552822718E1,7.877057854E0,1.450000048E0,2.193000031E2,3.790092468E0,2.500000000E0
3.816031862E2,6.491030266E1,2.552820823E1,7.794714483E0,1.470000029E0,2.216999969E2,3.790092468E0,2.500000000E0
3.826029660E2,6.491029340E1,2.552818607E1,7.609955916E0,1.460000038E0,2.260000000E2,3.790092468E0,2.500000000E0
3.836031376E2,6.491028429E1,2.552816301E1,7.511196163E0,1.460000038E0,2.261000061E2,3.790092468E0,2.500000000E0
3.846034874E2,6.491027561E1,2.552813980E1,7.464255680E0,1.450000048E0,2.288000031E2,3.790092468E0,2.500000000E0
3.856033201E2,6.491026556E1,2.552811578E1,7.540727138E0,1.480000019E0,2.308999939E2,3.790092468E0,2.500000000E0
3.866029584E2,6.491025646E1,2.552809081E1,7.659741128E0,1.460000038E0,2.323999939E2,3.790092468E0,2.500000000E0
3.876032874E2,6.491024803E1,2.552806509E1,7.385445309E0,1.480000019E0,2.301000061E2,3.790092468E0,2.500000000E0
3.886037445E2,6.491023849E1,2.552803974E1,7.849551724E0,1.470000029E0,2.296999969E2,3.790092468E0,2.500000000E0
3.896034606E2,6.491022940E1,2.552801338E1,7.815184592E0,1.460000038E0,2.311999969E2,3.790092468E0,2.500000000E0
3.906036871E2,6.491022095E1,2.552798846E1,7.607539021E0,1.460000038E0,2.303999939E2,3.790092468E0,2.500000000E0
3.916034430E2,6.491021166E1,2.552796510E1,7.688161473E0,1.470000029E0,2.311999969E2,3.790092468E0,2.500000000E0
3.926034528E2,6.491020124E1,2.552794310E1,7.431868604E0,1.450000048E0,2.313000031E2,3.790092468E0,2.500000000E0
3.936031989E2,6.491019078E1,2.552791951E1,6.957924578E0,1.460000038E0,2.298000031E2,3.790092468E0,2.500000000E0
3.946034308E2,6.491018171E1,2.552789445E1,6.813449841E0,1.470000029E0,2.318999939E2,3.790092468E0,2.500000000E0
3.956029766E2,6.491017314E1,2.552786896E1,6.871551319E0,1.460000038E0,2.311999969E2,3.790092468E0,2.500000000E0
3.966032594E2,6.491016449E1,2.552784439E1,6.690211662E0,1.450000048E0,2.308999939E2,3.790092468E0,2.500000000E0
3.976033933E2,6.491015539E1,2.552781957E1,6.647787642E0,1.409999967E0,2.316999969E2,3.790092468E0,2.500000000E0
3.986029568E2,6.491014676E1,2.552779412E1,6.449785543E0,1.440000057E0,2.333999939E2,3.790092468E0,2.500000000E0
3.996027619E2,6.491013876E1,2.552776791E1,6.764418423E0,1.450000048E0,2.335000000E2,3.790092468E0,2.500000000E0
4.006028652E2,6.491013191E1,2.552773883E1,6.874951252E0,1.500000000E0,2.413999939E2,3.790092468E0,2.500000000E0
4.016035948E2,6.491012510E1,2.552771187E1,6.748972558E0,1.500000000E0,2.361999969E2,3.790092468E0,2.500000000E0
4.026028885E2,6.491011592E1,2.552768951E1,7.015996326E0,1.500000000E0,2.298000031E2,3.790092468E0,2.500000000E0
4.036036824E2,6.491010837E1,2.552766762E1,6.969972215E0,1.419999957E0,2.323999939E2,3.790092468E0,2.500000000E0
4.046032502E2,6.491010112E1,2.552764590E1,7.047666618E0,1.460000038E0,2.326999969E2,3.790092468E0,2.500000000E0
4.056036913E2,6.491009197E1,2.552762486E1,7.121941185E0,1.419999957E0,2.321999969E2,3.790092468E0,2.500000000E0
4.066035592E2,6.491008295E1,2.552760338E1,7.102771117E0,1.429999948E0,2.328999939E2,3.790092468E0,2.500000000E0
4.076027868E2,6.491007407E1,2.552758217E1,7.015119692E0,1.370000005E0,2.316999969E2,3.790092468E0,2.500000000E0
4.086036934E2,6.491006569E1,2.552755887E1,7.370645324E0,1.440000057E0,2.358999939E2,3.790092468E0,2.500000000E0
4.096031201E2,6.491005898E1,2.552753330E1,7.498328619E0,1.480000019E0,2.361000061E2,3.790092468E0,2.500000000E0
4.106033288E2,6.491005512E1,2.552750217E1,7.444496862E0,1.480000019E0,2.463000031E2,3.790092468E0,2.500000000E0
4.116029811E2,6.491005654E1,2.552746792E1,7.836959547E0,1.419999957E0,2.563999939E2,3.790092468E0,2.500000000E0
4.126031409E2,6.491005817E1,2.552743216E1,8.507071586E0,1.450000048E0,2.637000122E2,3.790092468E0,2.500000000E0
4.136034134E2,6.491005959E1,2.552739714E1,8.662168667E0,1.460000038E0,2.642999878E2,3.790092468E0,2.500000000E0
4.146032661E2,6.491005817E1,2.552736346E1,8.299562713E0,1.500000000E0,2.588999939E2,3.790092468E0,2.500000000E0
4.156027784E2,6.491005654E1,2.552732975E1,7.824468776E0,1.480000019E0,2.541000061E2,3.790092468E0,2.500000000E0
4.166030037E2,6.491005247E1,2.552730002E1,7.787360241E0,1.450000048E0,2.478000031E2,3.790092468E0,2.500000000E0
4.176028029E2,6.491004736E1,2.552727200E1,7.731085438E0,1.450000048E0,2.463999939E2,3.790092468E0,2.500000000E0
4.186029649E2,6.491004200E1,2.552724663E1,7.493901789E0,1.350000024E0,2.436000061E2,3.790092468E0,2.500000000E0
4.196031348E2,6.491003532E1,2.552722092E1,7.610110524E0,1.399999976E0,2.370000000E2,3.790092468E0,2.500000000E0
4.206033599E2,6.491002801E1,2.552719640E1,7.302429331E0,1.440000057E0,2.368999939E2,3.790092468E0,2.500000000E0
4.216028306E2,6.491002097E1,2.552717069E1,7.601438025E0,1.450000048E0,2.388000031E2,3.790092468E0,2.500000000E0
4.226029412E2,6.491001385E1,2.552714468E1,8.132685462E0,1.450000048E0,2.360000000E2,3.790092468E0,2.500000000E0
4.236035144E2,6.491000594E1,2.552711985E1,7.787345070E0,1.429999948E0,2.336000061E2,3.790092468E0,2.500000000E0
4.246028303E2,6.490999859E1,2.552709623E1,7.671375126E0,1.399999976E0,2.341000061E2,3.790092468E0,2.500000000E0
4.256032231E2,6.490999037E1,2.552707445E1,7.500655555E0,1.409999967E0,2.308000031E2,3.790092468E0,2.500000000E0
4.266034970E2,6.490998309E1,2.552705515E1,7.144023385E0,1.379999995E0,2.296999969E2,3.790092468E0,2.500000000E0
4.276028340E2,6.490997566E1,2.552703323E1,7.205848514E0,1.419999957E0,2.330000000E2,3.790092468E0,2.500000000E0
